"Address","total_calls","first_call","last_call","Zip","median_age"
"639 LAFAYETTE ST",177,2016-01-08,2020-12-29,37203,47
"506 2ND AVE N",154,2016-08-11,2019-06-27,37201,31
"5113 HARDING PL",67,2016-01-27,2020-10-30,37211,34
"705 DREXEL ST",60,2016-01-03,2020-12-30,37203,52.5
"622 RIVERGATE PKWY",49,2016-01-24,2020-12-31,37072,31
"200 JAMES ROBERTSON PKWY",48,2016-01-09,2020-12-25,37201,34
"333 RIO VISTA DR",44,2016-03-17,2020-12-21,37115,29.5
"506 2ND AV N",44,2017-02-03,2020-05-30,37203,30
"1111 BELL RD",42,2016-01-24,2020-10-27,37013,29
"500 HOSPITAL DR",39,2016-02-24,2020-12-27,37115,43
"5115 HARDING PL",39,2016-02-12,2020-12-15,37211,31.5
"1716 ROSA L PARKS BLVD",38,2016-02-05,2020-07-13,37208,42
"665 MYATT DR",37,2016-03-11,2020-08-09,37115,36
"448 2ND AVE N",36,2016-01-09,2016-08-05,37201,29
"420 METROPLEX DR",35,2018-07-22,2020-11-30,37211,32
"2425 ATRIUM WAY",32,2016-03-24,2020-11-10,37214,33
"7575 COCKRILL BEND BLVD",32,2016-05-26,2020-06-04,37209,53
"709 5TH AVE S",31,2016-02-08,2019-04-04,37203,37
"1500 PORTER RD",29,2016-04-22,2020-11-05,37206,26
"1250 ROBINSON RD",28,2016-02-03,2020-09-14,37138,77
"3458 DICKERSON PIKE",28,2016-06-04,2019-06-08,37207,37
"400 DR MARTIN L KING JR BLVD",28,2019-01-23,2020-12-07,37219,45
"850 RICHARDS RD",28,2016-03-30,2020-11-17,37013,28
"1310 ELLISTON ST",27,2016-01-08,2020-08-02,37138,39
"3035 HAMILTON CHURCH RD",27,2016-03-13,2020-09-25,37013,33
"709 5TH AV S",26,2019-07-11,2020-11-03,37203,40
"95 WALLACE RD",26,2016-02-05,2020-12-22,37211,30
"180 WALLACE RD",25,2016-01-05,2020-12-14,37211,32
"2823 MURFREESBORO PIKE",25,2016-07-16,2019-05-23,37013,42
"5770 OLD HICKORY BLVD",25,2016-01-18,2020-09-28,37076,33.5
"1310 CORELAND DR",24,2016-03-10,2020-11-18,37115,59
"270 TAMPA DR",24,2016-07-06,2020-12-17,37211,37
"5768 OLD HICKORY BLVD",24,2016-03-09,2020-12-25,37076,35.5
"1400 BRICK CHURCH PKE",23,2019-11-27,2020-12-27,37207,38.5
"400 CHARLOTTE AVE",23,2016-01-08,2018-08-16,37219,45
"8283 RIVER ROAD PIKE",23,2016-04-19,2019-06-08,37209,31
"930 INDUSTRIAL DR",23,2016-03-30,2020-07-23,37138,66
"1601 23RD AVE S",22,2016-07-07,2019-06-19,37212,42
"1621 BELL RD",22,2016-04-25,2020-10-29,37013,30.5
"200 E WEBSTER ST",22,2016-05-18,2020-12-13,37115,70
"6535 PREMIER DR",22,2016-06-07,2020-09-13,37209,34.5
"105 OAK VALLEY DR",21,2016-06-13,2020-10-13,37207,30.5
"7044 CHARLOTTE PIKE",21,2016-04-25,2019-04-23,37209,37
"250 CUMBERLAND BND",20,2019-05-01,2020-12-23,37228,36.5
"302 DUPONT AV",20,2019-07-10,2020-12-05,37115,25
"3430 PERCY PRIEST DR",20,2016-02-13,2020-12-09,37214,30
"4144 LEBANON PIKE",20,2016-05-06,2019-04-20,37076,30
"1414 COUNTY HOSPITAL RD",19,2016-03-23,2020-04-14,37218,61
"323 CARTWRIGHT ST",19,2016-01-03,2020-11-04,37072,30
"323 HARDING PL",19,2016-05-16,2020-12-29,37211,40
"335 FOREST PARK RD",19,2016-03-25,2020-12-08,37115,54
"5272 CANE RIDGE RD",19,2016-07-27,2020-06-30,37013,31
"1000 RIVERGATE PKWY",18,2016-04-14,2020-09-19,37115,33
"1123 BUBBLING WELL RD",18,2018-03-01,2020-12-14,37115,28
"300 E WEBSTER ST",18,2016-07-10,2020-09-12,37115,37
"3425 KNIGHT DR",18,2016-01-13,2020-08-16,37189,65
"361 HARDING PL",18,2017-11-18,2020-10-23,37211,32
"433 OPRY MILLS DR",18,2016-02-12,2020-12-23,37214,27
"4TH AV N / BROADWAY",18,2016-06-11,2020-08-28,37203,31
"7475 COCKRILL BEND BLVD",18,2016-03-30,2020-06-20,37209,39
"1504 HAMPTON ST",17,2018-02-23,2020-11-20,37207,30
"210 32ND ST",17,2016-10-14,2020-11-12,37138,38
"305 BROADWAY",17,2016-06-12,2020-02-26,37201,26
"344 BELL RD",17,2018-04-26,2020-08-28,37217,76
"4343 ASHLAND CITY HWY",17,2016-06-14,2020-08-12,37218,74
"5544 OLD HICKORY BLVD",17,2016-04-23,2020-12-23,37076,29.5
"60 LESTER AVE",17,2016-05-27,2019-03-13,37210,61
"1 TERMINAL DR",16,2016-01-06,2020-12-20,37214,24
"1412 BRICK CHURCH PIKE",16,2016-05-12,2019-04-17,37207,29.5
"2999 SMITH SPRINGS RD",16,2016-09-07,2020-07-25,37217,32
"3881 STEWARTS LN",16,2016-09-15,2020-10-06,37218,30
"3910 CENTRAL PKE",16,2016-02-15,2020-10-18,37076,35
"4040 NOLENSVILLE PIKE",16,2016-05-16,2018-07-07,37211,39
"4040 NOLENSVILLE PKE",16,2016-02-03,2020-10-12,37211,28
"510 CLARIDGE DR",16,2016-11-09,2020-12-09,37214,34
"61 E THOMPSON LN",16,2016-05-09,2019-06-12,37211,36.5
"719 THOMPSON LN",16,2016-02-08,2020-11-13,37204,49
"94 BERKLEY DR",16,2016-10-04,2020-07-21,37115,60
"97 WALLACE RD",16,2016-01-25,2020-08-11,37211,38
"1101 BROADWAY",15,2016-03-12,2019-10-25,37203,32
"111 N 1ST ST",15,2016-02-20,2020-11-15,37213,35
"118 EMMITT AVE",15,2016-02-13,2019-02-13,37115,38
"1400 EAGLE VIEW BLVD",15,2018-05-08,2020-09-29,37013,29
"2200 BRICK CHURCH PKE",15,2016-02-22,2020-10-29,37207,35
"2510 DICKERSON PKE",15,2019-07-10,2020-10-01,37207,34
"329 BROADWAY",15,2016-03-12,2019-09-14,37201,26
"420 MURFREESBORO PIKE",15,2016-07-30,2019-04-11,37210,35
"421 OCALA DR",15,2016-02-20,2019-09-23,37211,75
"4424 LEBANON PIKE",15,2016-05-10,2019-04-16,37138,28.5
"5910 OLD HICKORY BLVD",15,2019-08-04,2020-11-29,37218,25
"727 BELL RD",15,2016-01-17,2020-09-25,37013,30
"800 MONROE ST",15,2016-01-29,2019-11-25,37208,38
"112 EAGAN CIR",14,2019-04-16,2020-07-20,37115,26
"130 W TRINITY LN",14,2018-05-01,2020-10-10,37207,39
"1601 23RD AV S",14,2019-10-16,2020-12-10,37212,30.5
"2607 INGA ST",14,2016-04-16,2020-09-12,37216,31
"275 CUMBERLAND BND",14,2016-01-29,2020-04-28,37228,40
"3445 PERCY PRIEST DR",14,2016-08-27,2020-12-30,37214,37
"3705 OLD CLARKSVILLE PIKE",14,2016-06-13,2020-12-02,37080,31
"431 LARKIN SPRINGS RD",14,2016-06-20,2020-09-19,37115,64
"500 CHEYENNE BLVD",14,2016-07-30,2020-10-11,37115,28
"5319 MT VIEW RD",14,2017-10-01,2020-09-03,37013,28
"630 BELL RD",14,2016-07-15,2020-11-26,37013,24.5
"111 OLD HICKORY BLVD",13,2016-04-26,2020-11-27,37221,26
"1441 LEBANON PKE",13,2019-08-05,2020-12-13,37210,28
"150 W TRINITY LN",13,2016-06-23,2020-09-01,37207,35
"234 W TRINITY LN",13,2018-06-09,2020-09-09,37207,43
"237 CUMBERLAND BND",13,2016-05-03,2019-01-24,37228,34
"2800 OPRYLAND DR",13,2016-02-28,2018-10-13,37214,38
